0.0808,0.1997,0.3108,0.4383,0.5186,0.6097,0.7549,0.856,0.9568,1.2319,1.375,1.4909,1.5841,1.6473,1.7869,1.8355,1.9453,2.0817,2.1688,2.4315,2.5374
0.075,0.1549,0.28,0.3661,0.4566,0.5279,0.6575,0.7921,0.9075,1.2185,1.3582,1.5123,1.601,1.6903,1.8331,1.8553,1.9575,2.0939,2.1808,2.496,2.5871
0.081,0.1699,0.2871,0.3679,0.4574,0.5511,0.6467,0.7562,0.8584,1.2232,1.38,1.5025,1.5878,1.6481,1.7901,1.8094,1.9071,2.0435,2.1515,2.4567,2.5388
0.0863,0.1585,0.31,0.385,0.4808,0.5669,0.6989,0.7514,0.8546,1.1821,1.34,1.4617,1.5591,1.6339,1.7865,1.7825,1.8866,2.0391,2.1418,2.4262,2.5141
0.0861,0.1552,0.3006,0.3539,0.436,0.5785,0.7944,0.7521,0.7603,1.3557,1.4875,1.6519,1.7435,1.8534,1.9909,1.9999,2.1026,2.2549,2.3454,2.6385,2.7095
0.0705,0.1844,0.2987,0.4441,0.5375,0.6346,0.755,1.2002,1.2757,1.5484,1.663,1.852,1.9418,2.0672,2.1749,2.2056,2.298,2.4104,2.5025,2.7935,2.8769
0.0892,0.2343,0.3668,0.488,0.5659,0.6282,0.747,0.9251,1.0125,1.3177,1.4429,1.5825,1.6707,1.7703,1.8838,1.9192,2.0068,2.124,2.2106,2.4815,2.5995
0.0816,0.1604,0.2765,0.3855,0.457,0.5307,0.6619,0.7704,0.8786,1.217,1.3548,1.496,1.5826,1.6938,1.8229,1.824,1.9193,2.051,2.1373,2.4275,2.5191
0.0903,0.2148,0.3257,0.4498,0.5564,0.6316,0.7554,0.8726,0.9618,1.2933,1.4482,1.5704,1.6499,1.7376,1.8756,1.8857,1.9852,2.1113,2.2053,2.5361,2.6361
0.0879,0.1612,0.3066,0.3568,0.4447,0.5316,0.6541,0.7636,0.8771,1.1596,1.2847,1.5114,1.5983,1.6876,1.823,1.8568,1.9537,2.0917,2.1733,2.4484,2.5424
0.0948,0.1678,0.2995,0.3642,0.4397,0.5268,0.6546,0.7509,0.8465,1.1704,1.337,1.4605,1.55,1.6224,1.7918,1.8275,1.9167,2.0592,2.1442,2.4117,2.5107
0.0898,0.1734,0.3019,0.3484,0.4397,0.5213,0.6712,0.7506,0.8855,1.1959,1.3498,1.4607,1.5768,1.6492,1.8057,1.8506,1.9348,2.7523,2.8347,3.1275,3.2199
0.0837,0.172,0.2984,0.3784,0.4573,0.5573,0.6816,0.7684,0.8882,1.1872,1.3453,1.4667,1.5596,1.6626,1.7875,1.8034,1.8873,2.0303,2.1161,2.387,2.4744
0.0774,0.1763,0.2822,0.4184,0.5182,0.5961,0.7331,0.8381,0.9302,1.2514,1.404,1.4951,1.5804,1.7003,1.804,1.8384,1.9469,2.2308,2.3427,2.6392,2.739
0.0945,0.2295,0.3617,0.4182,0.5423,0.6141,0.7147,0.9208,1.0177,1.3574,1.5218,1.6427,1.7317,1.7975,1.9152,1.9612,2.0512,2.2061,2.29,2.5696,2.6617
0.0824,0.1536,0.294,0.3476,0.4358,0.5219,0.6544,0.7602,0.8814,1.2024,1.3437,1.4846,1.5699,1.6397,1.7746,1.814,1.9169,2.0531,2.145,2.3953,2.48
0.0824,0.1393,0.2926,0.3483,0.4333,0.5109,0.6241,0.7447,0.8688,1.1602,1.2875,1.4187,1.5074,1.616,1.7564,1.7728,1.8837,2.0088,2.0959,2.3623,2.4502
0.0713,0.242,0.3595,0.4387,0.524,0.5895,0.7114,0.899,0.993,1.3151,1.4319,1.5998,1.688,1.819,1.9262,1.9806,2.0645,2.2606,2.2667,2.6806,2.7917
0.085,0.1797,0.2919,0.3991,0.4743,0.5696,0.6805,0.8584,0.9643,1.2968,1.4209,1.5827,1.6751,1.7636,1.876,1.9238,2.0083,2.1402,2.2212,2.5177,2.6209
0.0834,0.2332,0.3639,0.3895,0.4819,0.5941,0.6828,0.8079,0.9188,1.2326,1.3717,1.4871,1.5761,1.6638,1.7868,1.8233,1.9104,2.0357,2.1318,2.4188,2.5107
0.0913,0.2161,0.3446,0.4109,0.5017,0.5978,0.7219,0.8728,0.9462,1.3182,1.4748,1.5738,1.657,1.7368,1.8954,1.8928,1.9934,2.1377,2.2243,2.5208,2.5982
0.0937,0.1878,0.3311,0.3834,0.4821,0.5542,0.6862,0.7875,0.8857,1.1644,1.287,1.4319,1.5269,1.6225,1.7434,1.758,1.8691,2.0216,2.1029,2.3714,2.4546
0.0953,0.1805,0.3386,0.3516,0.4635,0.5401,0.6718,0.7573,0.8856,1.2077,1.3595,1.4574,1.5548,1.6586,1.8024,1.794,1.9035,2.0431,2.1495,2.4368,2.5229
0.0887,0.1662,0.3116,0.3876,0.4763,0.5523,0.7014,0.7283,0.8502,1.1501,1.3166,1.4013,1.5019,1.658,1.8114,1.7874,1.8949,2.034,2.1232,2.3896,2.477
0.0795,0.1979,0.3235,0.4441,0.5531,0.6845,0.8281,0.9284,1.0448,1.3668,1.5178,1.6585,1.7717,1.832,1.9674,1.9994,2.0897,2.2351,2.328,2.6208,2.7058
0.0903,0.1464,0.2992,0.3557,0.4563,0.5234,0.6485,0.7261,0.8504,1.1333,1.2603,1.3881,1.4823,1.5405,1.6796,1.6937,1.7842,1.9362,2.0336,2.2961,2.3869
0.0863,0.1878,0.3082,0.3961,0.4769,0.5722,0.6664,0.8237,0.9288,1.3247,1.5176,1.6683,1.7388,1.8228,1.9669,2.6248,2.7117,2.8716,2.9366,3.2157,3.2996
0.0913,0.1693,0.2894,0.4092,0.4968,0.7232,0.8211,1.6555,1.7263,2.0905,2.2115,2.3862,2.4957,2.5692,2.6906,2.7239,2.8055,2.9274,3.0216,3.3015,3.4169
0.0805,0.1783,0.3182,0.3715,0.4518,0.5262,0.6307,0.7394,0.8492,1.1417,1.2964,1.4278,1.512,1.5968,1.7351,1.7571,1.8503,1.9606,2.062,2.3139,2.4337
0.0768,0.148,0.2855,0.3428,0.4349,0.5167,0.6806,0.7036,0.8192,1.151,1.2915,1.4512,1.5402,1.6321,1.7876,1.7699,1.8821,2.0333,2.1246,2.4127,2.5117
0.0832,0.1739,0.2948,0.355,0.4474,0.5261,0.6583,0.7343,0.8467,1.1523,1.3007,1.4047,1.4989,1.5695,1.6967,1.7213,1.8169,1.9372,2.0372,2.311,2.4029
0.0993,0.1647,0.3196,0.3798,0.4825,0.5535,0.6871,0.7876,0.9103,1.2139,1.3694,1.4929,1.5911,1.6939,1.809,1.831,1.9226,2.0809,2.1725,2.4421,2.5385
0.0779,0.2063,0.3285,0.4143,0.4919,0.5642,0.6817,0.7722,0.882,1.1713,1.3073,1.4311,1.5195,1.585,1.717,1.7574,1.8596,2.0084,2.0989,2.3875,2.459
0.0805,0.2021,0.3325,0.4004,0.4899,0.5599,0.6993,0.7769,0.8983,1.2063,1.357,1.4642,1.5505,1.6332,1.7689,1.7735,1.8704,1.9955,2.0919,2.4095,2.4998
0.0924,0.1697,0.269,0.3833,0.4702,0.5367,0.6383,0.7407,0.8495,1.1596,1.3227,1.4391,1.5399,1.6012,1.7421,1.8517,1.8626,2.1331,2.2255,2.5447,2.6321
0.0879,0.1306,0.2618,0.3582,0.439,0.5327,0.657,0.7333,0.8471,1.1771,1.3242,1.4076,1.4889,1.5647,1.7027,1.7318,1.8432,1.9646,2.0367,2.4783,2.5918
0.0874,0.1631,0.2935,0.3914,0.4672,0.529,0.6868,1.0198,1.1439,1.4957,1.6172,1.7787,1.8706,1.9198,2.0713,2.1817,2.1984,2.4515,2.556,2.8702,2.9658
0.0795,0.2114,0.3318,0.3986,0.4873,0.5873,0.7127,0.7829,0.9114,1.2139,1.3736,1.4919,1.5843,1.6704,1.7947,1.8019,1.903,2.0138,2.112,2.3914,2.4814
0.0792,0.1646,0.2984,0.3694,0.4687,0.5664,0.6897,0.7728,0.9042,1.2247,1.3686,1.494,1.5851,1.6652,1.8159,1.8215,1.9295,2.0762,2.166,2.444,2.5406
0.0905,0.1881,0.3248,0.3705,0.4494,0.5252,0.6429,0.7126,0.8324,1.1357,1.2582,1.3902,1.4966,1.6263,1.7683,1.7871,1.8856,2.0292,2.1245,2.4244,2.4967
0.0824,0.1934,0.3037,0.3953,0.4785,0.5532,0.6672,0.7846,0.9039,1.2407,1.3951,1.5033,1.6062,1.6686,1.8109,1.8165,1.9097,2.0604,2.1507,2.448,2.5277
0.1069,0.1884,0.3341,0.3684,0.4642,0.5587,0.6862,0.7981,0.905,1.2328,1.3902,1.5243,1.6122,1.7086,1.8527,1.8575,1.9533,2.0987,2.1969,2.4609,2.5496
0.0911,0.1892,0.3188,0.3943,0.4877,0.5643,0.6976,0.7842,0.898,1.1865,1.3368,1.4345,1.5237,1.5945,1.7376,1.754,1.853,1.9881,2.071,2.3538,2.4377
